Maquina,Fault_Code,TIMESTAMP
C,62018,2020-05-23T03:29:51.750Z
C,62018,2020-05-15T01:35:54.937Z
C,62018,2020-05-15T06:38:12.600Z
C,62018,2020-05-15T06:24:52.730Z
C,62018,2020-05-15T06:42:24.328Z
C,62018,2020-05-15T07:01:40.669Z
C,62018,2020-05-19T03:20:02.024Z
C,62018,2020-05-19T08:36:22.187Z
C,62018,2020-05-19T20:27:21.113Z
C,62018,2020-05-19T20:30:08.392Z
C,62018,2020-05-19T22:29:48.833Z
C,62018,2020-05-19T06:03:09.130Z
C,62018,2020-05-19T17:50:51.796Z
C,62018,2020-05-19T15:06:32.700Z
C,62018,2020-05-19T16:05:24.783Z
C,62018,2020-05-14T17:44:49.142Z
C,62018,2020-05-14T05:47:55.284Z
C,62018,2020-05-14T11:44:54.929Z
C,62018,2020-05-14T04:18:07.283Z
C,62018,2020-05-14T08:56:34.601Z
C,62018,2020-05-14T08:30:06Z
C,62018,2020-05-12T03:11:18.053Z
C,62018,2020-05-12T03:11:24.456Z
C,62018,2020-05-12T03:37:40.164Z
C,62018,2020-05-12T21:04:54.660Z
C,62018,2020-05-12T06:23:16.425Z
C,62018,2020-05-20T04:13:21.133Z
C,62018,2020-05-20T05:33:53.558Z
C,62018,2020-05-20T06:42:43.226Z
C,62018,2020-05-20T10:45:22.412Z
C,62018,2020-05-20T10:29:32.805Z
C,62018,2020-05-20T12:16:38.592Z
C,62018,2020-05-20T23:46:00.429Z
C,62018,2020-05-22T03:10:28.215Z
C,62018,2020-05-22T06:57:56.408Z
C,62018,2020-05-22T16:21:22.605Z
C,62018,2020-05-18T06:21:10.186Z
C,62018,2020-05-18T06:22:37.213Z
C,62018,2020-05-18T12:54:12.922Z
C,62018,2020-05-18T04:41:08.746Z
C,62018,2020-05-18T16:37:49.717Z
C,62018,2020-05-18T07:36:00.910Z
C,62018,2020-05-13T04:47:20.718Z
C,62018,2020-05-13T04:57:39.227Z
C,62018,2020-05-13T06:52:53.954Z
C,62018,2020-05-13T06:58:01.662Z
C,62018,2020-05-13T07:56:11.476Z
C,62018,2020-05-13T07:49:27.260Z
C,62018,2020-05-13T02:28:19.154Z
J,24169,2020-05-11T08:24:54.528Z
J,24169,2020-05-11T08:23:02.403Z
J,24169,2020-05-11T08:25:09.529Z
J,24169,2020-05-11T08:24:26.027Z
J,24169,2020-05-11T08:25:36.931Z
